Sentence,Unit,UCP_ID,Number_UCP,Word_count_ST,Modality,UCPs,Errors,Points,Language,CSs,Creativity_Index
2BR02B,2BR02B,1,1,1,1a,E,1,15,ES,0,-15.00
Everything was perfectly swell.,perfectly swell,2,1,4,1a,R,0,0,ES,0,0.00
So was old age.,So was old age,3,1,4,1a,R,1,5,ES,0,-1.25
"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",Chicago Lying-in Hospital,4,1,22,1a,E,1,1,ES,0,-0.05
He was the only man waiting.,the only man waiting,5,1,6,1a,R,0,0,ES,0,0.00
"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",a mere stripling,6,1,17,1a,R,0,0,ES,0,0.00
"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",disorderly and demoralized air,7,1,15,1a,R,1,1,ES,0,-0.07
The floor was paved with spattered dropcloths.,spattered dropcloths,8,1,7,1a,R,2,2,ES,0,-0.29
"Every plant had all the loam, light, water, air and nourishment it could use.","loam, light, water, air and nourishment",9,1,14,1a,R,0,0,ES,0,0.00
Kiss this sad world toodle-oo.,Kiss this sad world toodle-oo.,10,1,5,1a,R,1,5,ES,0,-1.00
He gave a satiric smile.,satiric smile,11,1,5,1a,R,0,0,ES,0,0.00
"""It's called 'The Happy Garden of Life,' you know.""",The Happy Garden of Life,12,1,9,1a,R,2,16,ES,0,-1.78
Hitz was a blindingly handsome man.,a blindingly handsome man,13,1,6,1a,R,0,0,ES,0,0.00
All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.,Chicago Office of the Federal Bureau of Termination,14,1,27,1a,R,1,1,ES,0,-0.04
"""You think I'm proud of this daub?"" he said. ",this daub,15,1,10,1a,R,0,0,ES,0,0.00
The painter gestured at a foul dropcloth.,foul dropcloth,16,1,7,1a,E,1,5,ES,0,-0.71
"""Frame that, and you'll have a picture a damn sight more honest than this one.""",damn sight more honest,17,1,15,1a,O,1,5,ES,0,-0.33
"""You're a gloomy old duck, aren't you?"" said the orderly.",gloomy old duck,18,1,10,1a,E,1,5,ES,0,-0.50
"""If you don't like it here, Grandpa..."" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",Grandpa,19,1,32,1a,R,3,7,ES,0,-0.22
"The zero in the telephone number he pronounced ""naught.""","The zero in the telephone number he pronounced ""naught.""",20,1,9,1a,E,1,15,ES,0,-1.67
"The number was: ""2 B R 0 2 B.""",2BR02B,21,1,9,1a,R,1,15,ES,0,-1.67
"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",sobriquets,22,1,32,1a,R,15,75,ES,0,-2.34
"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",Easy-go,23,1,32,1a,R,0,0,ES,0,0.00
"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""","Good-by, Mother",24,1,32,1a,R,0,0,ES,0,0.00
"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",Kiss-me-quick,25,1,32,1a,R,0,0,ES,0,0.00
